"id","natemis_number","name","natemis_quintile","natemis_province_id"
100000431,100000431,"HIGHBURY PRIMARY SCHOOL","Q4","base.state_za_wc"
100000432,100000432,"FOREST VILLAGE LEADERSHIP ACADEMY","Q4","base.state_za_wc"
100000433,100000433,"HAPPY VALLEY PRIMARY SCHOOL","Q4","base.state_za_wc"
100000434,100000434,"STAR COLLEGE - BRIDGETOWN","Q5","base.state_za_wc"
100000435,100000435,"AL-HIDAAYAH COLLEGE","Q3","base.state_za_wc"
100000437,100000437,"VRT PITT PRIMARY SCHOOL","Q3","base.state_za_wc"
100000439,100000439,"CURRO BRACKENFELL","Q5","base.state_za_wc"
100000445,100000445,"PARLIAMENT STREET PRIMARY SCHOOL","Q3","base.state_za_wc"
100000446,100000446,"THE ROCK ACADEMY","Q2","base.state_za_wc"
100000454,100000454,"KWANOKUTHULA PRIMARY SCHOOL","Q2","base.state_za_wc"
100000457,100000457,"MONTESSORI CONNECT-THE CHILDREN'S WORKS","Q2","base.state_za_wc"
100000459,100000459,"FYNBOS ACADEMY","Q2","base.state_za_wc"
100000460,100000460,"HOOPLAND ACADEMY","Q2","base.state_za_wc"
100000461,100000461,"KINGSWAY COLLEGE","Q2","base.state_za_wc"
100000467,100000467,"ITHEMBA LABANTU PRIMARY SCHOOL","Q2","base.state_za_wc"
100000471,100000471,"HEXRIVIER OPVOEDKUNDIGE SENTRUM","Q2","base.state_za_wc"
100000472,100000472,"BLOUVLEI ACADEMY","Q2","base.state_za_wc"
100000478,100000478,"JUNIOR CAMPUS PRIVATE SCHOOL","Q2","base.state_za_wc"
100000544,100000544,"GENERATION SCHOOLS SOMERSET WEST","Q5","base.state_za_wc"
100000545,100000545,"SILVERLEAF PRIMARY SCHOOL","Q3","base.state_za_wc"
100000546,100000546,"HERITAGE HOUSE INDEPENDENT SCHOOL","Q5","base.state_za_wc"
100000547,100000547,"GENERATION SCHOOL","Q5","base.state_za_wc"
100000548,100000548,"ALTENA PRIMARY SCHOOL","Q2","base.state_za_wc"
100000559,100000559,"VALENTURE INSTITUTE","N/A","base.state_za_wc"
